camera,Age,Ram,Cpu_score,Slot_sd,Sims,Price
28,154,4,54,0,1,5248
189,16,4,94,0,2,3204
131,68,4,58,1,2,4617
75,86,12,60,1,2,3835
118,154,66,44,1,2,3587
150,87,16,86,0,2,3742
161,179,12,72,1,2,1410
165,185,16,51,0,1,5181
167,165,66,74,1,1,7518
97,73,8,99,1,1,1868
28,100,16,95,0,2,927
85,171,66,97,1,1,7851
74,59,16,83,0,1,4264
131,120,12,59,1,2,1013
61,143,12,50,1,1,7953
49,153,66,78,0,2,1512
177,183,4,59,1,1,6537
181,18,16,40,0,1,3446
101,181,66,42,0,1,1909
64,158,8,40,0,2,3284
90,40,66,88,0,2,3748
93,191,12,40,0,1,4056
195,148,66,68,1,1,7859
127,131,12,82,0,1,5429
48,49,4,92,0,2,3478
64,53,8,89,1,2,7044
154,45,12,86,1,1,4575
112,158,12,61,1,2,3884
183,94,12,78,0,2,6800
54,12,8,81,1,1,4634
190,32,8,95,1,2,2674
158,200,8,85,0,1,4638
135,197,66,68,1,1,5498
80,56,8,56,1,1,4539
175,192,12,91,1,2,2530
198,160,16,83,0,1,5591
60,163,66,51,1,2,2613
130,121,66,85,0,1,4855
68,137,8,74,1,1,6906
15,111,4,92,1,2,5318
27,59,16,49,1,2,6058
34,125,4,74,0,1,3819
163,181,4,43,1,1,7500
16,199,4,88,1,2,3696
154,157,12,59,0,2,7375
125,71,66,76,1,2,4640
58,150,66,96,0,1,7585
140,16,16,59,0,1,7565
102,194,66,45,0,1,6953
183,91,66,63,0,1,3523
121,44,66,44,1,2,7245
194,59,66,70,0,1,4427
117,171,16,42,1,2,3621
185,160,8,43,1,2,2495
131,92,12,98,1,2,1982
150,11,16,56,1,2,1539
116,79,66,79,1,1,4202
158,79,8,69,1,2,7187
53,89,4,49,0,2,5142
19,103,4,43,1,1,7278
187,101,4,93,0,1,3163
191,177,12,96,1,1,6068
87,71,4,42,0,1,6577
168,143,4,47,1,2,1471
16,123,16,92,0,1,4191
171,34,4,79,0,1,7193
176,128,66,95,0,2,6504
88,94,12,71,0,2,1536
51,167,4,78,0,2,7737
61,130,8,98,0,2,7999
43,32,12,58,1,2,7465
143,17,66,43,0,1,3777
70,168,4,40,1,1,5869
66,73,16,79,1,2,940
98,199,12,62,1,1,2975
140,168,12,40,0,2,1099
64,47,66,77,0,2,7797
123,14,16,53,1,1,3997
162,88,12,73,0,1,7929
82,33,8,75,0,1,7952
142,67,12,92,1,2,2934
68,32,4,42,1,1,7638
157,175,66,87,1,1,6111
195,93,66,46,1,2,2825
190,155,4,66,0,2,2138
118,128,4,49,1,1,3287
11,121,4,95,1,2,3077
147,45,12,74,0,1,5470
78,173,8,45,0,1,7601
36,107,8,60,0,2,7404
58,30,66,82,1,2,7124
143,147,66,87,1,1,4137
80,49,8,99,1,1,5560
81,199,66,91,0,2,1623
47,109,4,46,1,2,2462
157,91,4,85,0,2,3173
66,151,12,80,0,2,6781
194,104,4,48,1,2,6376
90,113,66,92,1,1,7795
196,161,16,83,1,2,7369
96,100,12,44,1,1,5074
79,109,4,56,0,2,3701
58,54,8,74,0,2,7224
188,124,16,88,1,2,5250
111,200,66,95,0,2,3594
65,38,8,51,1,2,5101
158,190,12,82,1,1,3221
70,80,16,99,1,2,4061
189,83,4,57,0,2,5033
99,40,12,71,0,2,6406
42,82,12,100,0,2,4345
35,65,16,64,1,1,2865
25,196,66,100,0,2,6817
138,84,4,40,1,1,5048
105,177,4,45,0,1,6738
30,117,66,93,0,2,2790
146,95,8,78,0,1,4476
152,61,12,77,0,2,4569
161,150,66,82,1,2,6850
62,190,8,53,0,1,5331
163,171,66,78,0,2,3079
22,120,66,87,1,1,1574
166,145,12,69,1,1,1836
21,196,12,40,0,2,1865
144,48,8,47,0,2,4282
169,57,4,90,0,2,2768
198,174,16,93,1,1,4442
35,199,12,60,1,1,7534
11,63,8,68,1,1,3431
183,84,16,63,0,1,4734
157,148,16,64,0,2,6662
173,72,12,49,0,2,5706
51,97,8,95,1,1,3407
195,120,66,71,0,1,5158
193,167,16,91,1,2,4919
160,128,66,61,0,1,6958
139,136,4,40,1,2,7551
163,144,12,74,0,1,7253
52,81,8,48,1,1,1447
111,111,8,73,1,2,2219
106,184,8,46,0,1,2130
65,124,12,81,1,1,7802
22,53,8,78,1,1,2700
171,136,16,76,0,2,2639
116,66,4,57,1,1,4362
138,88,4,72,1,2,5672
30,46,66,97,0,1,7098
187,118,12,72,0,1,3968
15,66,66,42,1,2,5814
40,72,4,75,0,1,2760
86,81,16,45,1,2,1283
131,72,12,55,0,1,6726
57,107,66,54,0,2,7494
88,74,8,56,1,2,1217
77,28,12,53,1,1,7139
44,94,16,88,0,2,4521
187,141,12,62,0,2,3298
147,157,4,68,0,1,6609
182,199,66,47,1,1,2581
180,40,66,40,0,1,5162
26,195,8,82,1,1,5706
131,196,16,94,1,1,1400
46,123,4,94,1,2,6071
72,154,16,46,0,1,6699
29,22,4,54,0,1,5493
35,100,4,41,1,1,904
26,32,4,84,0,1,3825
126,172,8,54,1,2,3287
124,122,66,70,1,1,6906
69,184,4,97,0,2,4538
33,65,16,53,1,1,2335
99,126,4,100,1,1,3889
99,198,12,82,1,1,2181
102,35,12,54,0,2,6428
147,25,4,54,1,1,1763
169,78,66,89,0,2,6607
110,137,16,67,1,2,4430
36,167,12,54,0,1,5984
67,109,8,40,1,1,1175
52,186,66,96,0,2,4793
195,126,66,44,0,1,5231
197,64,16,47,0,1,3903
87,163,4,60,1,2,2845
105,144,4,80,1,2,5168
37,57,66,76,0,2,7353
166,98,16,62,0,2,4604
87,116,16,54,0,1,3326
190,161,12,96,0,2,3812
165,9,8,85,0,2,6098
69,62,66,46,1,1,4890
22,137,16,79,1,2,3506
134,167,8,71,1,1,5586
183,49,4,65,1,2,7723
141,87,8,65,1,1,7825
63,35,12,58,0,1,3513
26,107,66,40,1,1,1367
94,72,4,99,0,2,4144
189,59,12,58,0,2,7741
117,70,8,59,1,1,7439
194,143,66,62,0,1,4613
61,64,66,91,0,2,922
13,50,8,68,0,1,2994
150,43,4,73,1,1,1006
200,147,8,83,1,1,6833
25,78,66,40,1,1,1290
150,199,4,57,0,2,4599
30,198,8,69,0,1,4814
81,83,8,76,1,2,6529
40,131,12,78,1,1,2016
88,154,8,84,0,2,4242
198,31,66,69,0,1,2254
160,187,16,48,0,1,6767
71,74,4,44,0,2,1807
10,118,8,75,1,1,5769
164,149,12,81,0,2,5436
32,29,66,77,0,1,3973
184,111,12,42,1,1,5997
47,135,16,54,0,1,4294
183,31,12,95,1,2,5836
50,98,66,77,0,2,6779
54,84,16,89,1,2,3083
62,32,8,100,1,1,5640
133,189,4,40,1,2,1278
45,16,66,83,0,2,6520
101,186,16,80,0,1,6635
153,150,16,47,1,1,5271
186,109,8,59,0,1,6093
94,138,12,79,1,1,1633
14,92,16,91,1,2,3268
151,9,4,99,0,2,7183
195,192,8,100,0,1,7820
98,54,12,74,1,1,5405
85,161,12,42,0,2,1956
26,180,66,54,1,2,4738
110,138,66,78,0,1,2852
93,117,66,77,0,2,4834
60,27,12,58,1,1,4408
115,42,8,61,1,1,1136
154,154,16,66,0,2,6872
64,105,16,87,1,1,1729
66,195,8,75,0,1,6538
24,150,66,82,0,2,3392
44,55,8,61,1,1,2171
113,80,16,95,1,2,4228
148,33,8,84,1,2,5585
81,115,12,89,1,1,7874
20,65,16,45,0,1,1228
77,55,4,65,0,1,3809
143,171,66,66,1,1,6909
36,56,12,72,0,1,3493
191,118,16,83,1,1,5875
164,123,12,92,1,1,1989
57,102,66,60,0,2,2661
129,21,4,64,1,1,2338
147,67,66,67,0,2,929
135,60,66,52,1,1,4673
165,30,12,87,1,1,6876
118,44,12,88,0,1,6429
179,112,66,78,0,1,4690
191,32,4,52,0,2,3919
72,190,12,61,0,2,3639
189,165,66,46,0,1,6010
79,66,66,60,1,1,2061
13,76,12,74,1,1,2804
65,22,66,78,0,2,3823
60,119,16,49,0,2,1003
67,109,12,42,1,1,4380
90,64,66,93,1,2,6997
96,38,8,78,0,1,6740
56,106,8,40,0,2,6290
126,118,16,66,0,2,3816
116,85,12,98,0,1,7081
110,90,4,89,0,2,5230
39,20,4,85,0,2,2752
28,106,8,87,1,2,4223
153,193,66,92,1,1,2854
89,160,16,71,1,2,2423
53,151,4,71,0,1,7559
10,61,8,81,0,2,2308
186,175,66,77,0,1,5984
119,74,12,46,0,1,914
127,160,16,43,0,2,4487
54,27,16,51,1,2,6517
85,140,16,47,0,2,3124
61,125,16,88,1,1,6435
116,97,8,57,0,1,2754
45,109,12,52,0,2,3283
96,9,16,44,1,1,4699
138,147,8,65,0,2,2806
93,162,12,62,1,1,7458
58,129,12,98,1,1,6527
80,194,4,89,0,1,6128
34,187,16,79,0,1,7171
45,146,66,52,1,2,6902
32,98,16,63,0,1,4489
163,13,4,76,1,2,4432
55,151,8,48,0,1,6199
52,26,16,48,0,1,4794
146,24,8,88,1,1,6581
128,58,16,80,0,2,1492
87,162,66,57,1,2,1469
169,167,12,66,0,2,6153
113,10,8,71,1,1,4431
159,16,8,79,1,1,2956
36,64,8,42,1,1,5590
113,28,66,78,0,2,2273
61,181,16,59,1,2,5316
114,155,12,87,0,1,4111
79,108,16,54,0,1,6432
19,86,66,91,1,2,7315
155,80,16,90,0,2,6871
88,159,4,58,1,1,3068
89,116,8,56,1,2,7641
155,77,12,45,0,2,7080
39,193,8,81,0,1,2245
62,158,66,61,0,2,6417
36,50,16,76,1,2,6421
180,75,66,87,0,1,3809
196,9,8,82,1,1,7126
100,171,4,94,0,1,4713
53,129,4,58,0,1,2704
125,159,4,41,0,2,3919
31,107,66,48,1,2,2053
10,148,8,94,0,1,5602
172,51,4,85,1,2,3347
161,98,16,61,1,2,2738
131,119,66,68,0,2,4047
124,145,4,73,1,1,2633
180,96,12,95,0,2,2543
42,22,8,89,0,2,7235
108,76,8,76,0,1,6163
16,69,4,93,0,1,5398
174,41,66,52,0,2,1839
39,21,16,100,1,2,1284
99,141,16,57,0,2,1964
129,118,4,54,0,1,3823
62,70,12,80,1,2,7773
105,101,8,63,0,2,5716
97,50,8,47,1,2,1374
64,141,8,95,1,1,2087
194,94,66,80,1,2,6046
140,65,66,97,1,1,6177
78,49,12,52,1,1,2817
40,152,12,75,1,1,7686
154,124,16,62,1,2,4266
17,161,16,94,1,1,7753
111,13,4,96,0,1,5739
68,130,12,79,1,1,5900
173,156,16,41,0,1,6642
175,144,4,66,1,2,1161
133,94,66,52,1,1,7813
19,197,66,99,1,1,7678
175,56,8,72,1,1,908
146,77,12,50,0,1,5668
190,166,8,56,1,1,922
118,10,66,47,0,1,5116
136,69,8,55,0,2,6735
164,107,12,76,0,1,6609
161,182,66,41,0,1,4392
59,124,12,96,1,1,2432
197,126,16,42,0,2,3409
42,52,66,66,1,2,3412
129,61,8,63,1,2,5557
92,27,12,55,1,2,1792
57,82,16,100,0,1,3587
127,158,12,41,1,2,6227
112,78,16,68,1,2,3971
24,88,8,61,0,2,5107
96,61,66,49,1,1,2249
147,149,16,66,0,2,2779
151,65,8,56,0,2,4576
144,108,16,68,0,1,5035
197,31,8,55,1,2,1575
18,117,4,94,0,1,6767
56,86,16,83,1,2,3602
177,91,4,42,1,1,2900
59,167,12,76,0,2,4882
156,144,66,100,1,2,6492
148,128,16,96,1,1,1475
20,37,4,41,0,2,5353
152,70,12,55,0,2,4688
158,111,12,98,1,1,5044
192,61,16,66,1,2,4883
153,155,8,55,0,2,5965
31,23,4,71,1,2,5425
168,21,66,57,1,1,1596
34,59,8,58,0,1,7979
27,187,66,61,0,1,5564
145,138,16,71,0,2,3206
93,66,66,93,0,2,2051
156,106,66,90,0,1,6208
29,171,8,100,0,2,4902
89,54,12,43,0,1,6083
153,192,4,82,0,1,5973
109,112,8,83,0,1,995
21,9,12,53,1,2,4419
74,177,8,80,1,2,4259
170,100,8,82,1,1,924
46,9,66,86,1,1,3894
17,134,4,44,0,1,3609
165,124,4,98,1,1,5731
151,198,12,86,1,2,941
36,44,16,42,1,2,5350
59,117,12,57,1,2,7771
77,180,16,86,0,1,5337
149,23,8,94,1,2,2542
145,135,66,50,1,2,3131
37,117,16,91,1,1,4354
178,31,66,98,0,2,2350
35,87,8,66,1,2,4598
170,42,12,48,0,2,6941
198,132,12,56,0,1,6113
150,154,66,94,1,2,4717
156,97,4,58,1,1,3707
33,14,4,82,1,1,4466
114,88,66,40,0,1,5263
88,64,8,41,1,1,4620
12,10,66,99,1,1,4836
38,91,8,74,1,1,2259
175,135,16,92,0,1,2544
117,200,12,86,0,2,5271
122,11,12,84,0,1,7308
101,21,16,68,1,1,1474
120,127,66,80,1,1,3506
33,78,4,88,0,2,2105
27,97,8,60,1,1,2231
147,62,66,53,0,1,2463
78,165,8,57,0,1,6671
151,73,16,61,1,2,1342
49,103,12,64,0,1,1225
93,158,4,96,0,1,4483
49,151,4,88,1,1,3997
159,171,66,64,1,2,5677
79,162,16,50,1,2,5618
34,130,8,82,1,2,5691
179,43,8,91,0,2,6905
125,49,4,65,1,1,961
121,34,16,57,1,2,1069
76,121,12,99,0,1,2569
106,98,16,47,0,1,4269
108,105,66,76,1,2,4328
128,16,4,77,1,1,2575
75,178,8,54,0,2,5258
169,23,8,98,0,1,4627
70,129,66,99,0,1,1240
164,69,16,96,1,2,1760
56,49,66,74,1,1,6115
110,83,66,74,1,1,5577
161,33,8,68,1,1,6129
85,89,16,48,0,1,2497
20,83,16,96,0,1,2550
34,19,4,61,0,2,6629
33,159,8,67,1,1,5027
87,107,12,80,0,2,6616
154,72,12,65,1,1,5750
176,102,12,52,1,2,5018
84,152,16,40,1,1,2498
116,95,66,86,1,2,4164
137,25,16,45,1,1,4078
34,184,4,67,1,1,6927
11,28,16,77,1,2,6035
72,120,8,52,1,1,5247
50,160,8,93,1,2,1044
135,122,66,78,0,2,1675
38,101,12,43,1,2,4307
70,97,16,46,0,1,6488
109,10,66,92,1,2,7403
80,60,16,51,1,1,6882
94,79,66,90,1,2,5502
183,141,4,61,0,1,1989
172,112,66,60,1,2,2674
89,107,12,95,1,2,4563
59,154,4,53,1,2,3786
131,81,66,97,0,2,7557
51,100,4,76,0,1,2993
194,80,4,88,0,1,1589
20,172,66,65,1,1,2760
196,12,4,57,1,1,7052
97,160,8,98,0,2,4569
104,159,16,52,0,2,2942
73,77,12,53,0,1,6680
108,126,4,59,1,2,4061
9,38,8,94,1,2,4141
